shellH,element,row,col,cellArea,activeArea,areaFraction,outerEdgeCrossings,holeEdgeCrossings,totalBoundaryCrossings,holeOverlapCount,holeThroughCell,complexBoundary,sliverRisk,smallRetainedRegion,bboxFillRatio,minVisibleTriangleArea,triangleAreaEstimate,triangleAreaRelativeError,subCellDiv,triGaussN,visibleTriangles,candidateIntegrationPoints,acceptedIntegrationPoints,backend,policyReason,fallback,integrationPoints
819,231,6,15,0.000771605,0.000241326,0.312759,0,6,6,1,1,1,0,0,0.41979,0,0,0,6,7,0,576,181,subcell,forced-subcell,0,181
819,237,6,21,0.000771605,3.16945e-06,0.00410761,0,2,2,1,1,0,1,1,0.477507,0,0,0,6,7,0,576,3,subcell,forced-subcell,0,3
819,238,6,22,0.000771605,0.000384132,0.497834,0,6,6,1,1,1,0,0,0.497834,0,0,0,6,7,0,576,284,subcell,forced-subcell,0,284
819,266,7,14,0.000771605,0.000615759,0.798023,0,7,7,1,1,1,0,0,0.894641,0,0,0,6,7,0,576,456,subcell,forced-subcell,0,456
819,339,9,15,0.000771605,0.000753528,0.976573,0,2,2,1,1,0,0,0,0.976573,0,0,0,6,7,0,576,562,subcell,forced-subcell,0,562
819,340,9,16,0.000771605,0.000477659,0.619045,0,4,4,1,1,1,0,0,0.739158,0,0,0,6,7,0,576,356,subcell,forced-subcell,0,356
819,341,9,17,0.000771605,0.000255556,0.331201,0,4,4,1,1,1,0,0,0.746265,0,0,0,6,7,0,576,189,subcell,forced-subcell,0,189
819,342,9,18,0.000771605,0.000161234,0.20896,0,3,3,1,1,1,0,1,0.848468,0,0,0,6,7,0,576,126,subcell,forced-subcell,0,126
819,343,9,19,0.000771605,0.000171577,0.222363,0,3,3,1,1,1,0,1,0.811677,0,0,0,6,7,0,576,130,subcell,forced-subcell,0,130
819,344,9,20,0.000771605,0.000288617,0.374047,0,3,3,1,1,1,0,0,0.744743,0,0,0,6,7,0,576,214,subcell,forced-subcell,0,214
