shellH,element,row,col,cellArea,activeArea,areaFraction,outerEdgeCrossings,holeEdgeCrossings,totalBoundaryCrossings,holeOverlapCount,holeThroughCell,complexBoundary,sliverRisk,smallRetainedRegion,bboxFillRatio,minVisibleTriangleArea,triangleAreaEstimate,triangleAreaRelativeError,subCellDiv,triGaussN,visibleTriangles,candidateIntegrationPoints,acceptedIntegrationPoints,backend,policyReason,fallback,integrationPoints
819,7,0,7,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,1.38778e-15,5,7,2,14,14,triangle,forced-triangle,0,14
819,66,6,6,0.01,0.00428529,0.428529,0,1,1,1,1,0,0,0,0.513406,0.000826608,0.00428529,9.31877e-08,5,7,4,28,28,triangle,forced-triangle,0,28
819,88,8,8,0.01,0.00812222,0.812222,0,3,3,1,1,1,0,0,0.812222,0.00033046,0.00812222,4.92735e-08,5,7,4,28,28,triangle,forced-triangle,0,28
819,8,0,8,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,3.46945e-16,5,7,2,14,14,triangle,forced-triangle,0,14
819,9,0,9,0.01,0.01,1,2,0,2,0,0,0,0,0,1,0.005,0.01,3.46945e-16,5,7,2,14,14,triangle,forced-triangle,0,14
819,4,0,4,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,3.46945e-16,5,7,2,14,14,triangle,forced-triangle,0,14
819,5,0,5,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,3.46945e-16,5,7,2,14,14,triangle,forced-triangle,0,14
819,70,7,0,0.01,0.007625,0.7625,1,1,2,1,1,0,0,0,1,0.0011875,0.007625,3.61536e-08,5,7,4,28,28,triangle,forced-triangle,0,28
819,29,2,9,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,1.38778e-15,5,7,2,14,14,triangle,forced-triangle,0,14
819,10,1,0,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,0,5,7,2,14,14,triangle,forced-triangle,0,14
819,71,7,1,0.01,0.002125,0.2125,0,1,1,1,1,0,0,1,1,0.0039375,0.002125,3.85677e-08,5,7,4,28,28,triangle,forced-triangle,0,28
819,39,3,9,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,6.93889e-16,5,7,2,14,14,triangle,forced-triangle,0,14
819,49,4,9,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,1.38778e-15,5,7,2,14,14,triangle,forced-triangle,0,14
819,0,0,0,0.01,0.01,1,2,0,2,0,0,0,0,0,1,0.005,0.01,0,5,7,2,14,14,triangle,forced-triangle,0,14
819,1,0,1,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,0,5,7,2,14,14,triangle,forced-triangle,0,14
819,40,4,0,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,3.46945e-16,5,7,2,14,14,triangle,forced-triangle,0,14
819,19,1,9,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,3.46945e-16,5,7,2,14,14,triangle,forced-triangle,0,14
819,20,2,0,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,3.46945e-16,5,7,2,14,14,triangle,forced-triangle,0,14
819,50,5,0,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,3.46945e-16,5,7,2,14,14,triangle,forced-triangle,0,14
819,30,3,0,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0.005,0.01,5.20417e-16,5,7,2,14,14,triangle,forced-triangle,0,14
819,65,6,5,0.01,0.00441149,0.441149,0,2,2,1,1,0,0,0,0.520654,4.71398e-06,0.00441149,1.55008e-08,5,7,5,35,35,triangle,forced-triangle,0,35
819,55,5,5,0.01,0.00985647,0.985647,0,1,1,1,1,0,0,0,0.985647,0.000143529,0.00985647,2.55931e-08,5,7,3,21,21,triangle,forced-triangle,0,21
819,76,7,6,0.01,0.00983741,0.983741,0,3,3,1,1,1,0,0,0.983741,5.66251e-06,0.00983741,3.99133e-08,5,7,5,35,35,triangle,forced-triangle,0,35
819,60,6,0,0.01,0.00936919,0.936919,1,7,8,1,1,1,0,0,0.936919,3.93838e-06,0.00936919,1.73526e-08,5,7,9,63,63,triangle,forced-triangle,0,63
819,80,8,0,0.01,0.00913169,0.913169,1,7,8,1,1,1,0,0,0.913169,4.32477e-07,0.00913169,2.11659e-08,5,7,9,63,63,triangle,forced-triangle,0,63
